model_name,fold,run,criterion,num_trees,with_title,with_keywords,nb_added_negs,f1,recall,precision,accuracy,roc_auc,AP,MCC,NDCG,kappa,TN,FP,FN,TP
Random Forest,1,1,log_loss,100,True,False,500,0.8116883116883117,0.8012820512820513,0.8223684210526315,0.7478260869565218,{},{},0.4306365711060426,{},0.4303040655961735,47.0,27.0,31.0,125.0
Random Forest,2,1,log_loss,100,True,False,500,0.8119402985074626,0.8717948717948718,0.7597765363128491,0.7260869565217392,{},{},0.3269129988909086,{},0.3165739081218753,31.0,43.0,20.0,136.0
Random Forest,3,1,log_loss,100,True,False,500,0.8,0.8461538461538461,0.7586206896551724,0.7130434782608696,{},{},0.3032279594553762,{},0.297612437534703,32.0,42.0,24.0,132.0
Random Forest,4,1,log_loss,100,True,False,500,0.8104575163398693,0.7948717948717948,0.8266666666666667,0.7478260869565218,{},{},0.4350119414859656,{},0.4342663273960984,48.0,26.0,32.0,124.0
Random Forest,5,1,log_loss,100,True,False,500,0.7707006369426752,0.7806451612903226,0.7610062893081762,0.6869565217391305,{},{},0.278025877010378,{},0.2778020061055386,37.0,38.0,34.0,121.0
Random Forest,1,1,gini,100,True,False,500,0.7911392405063291,0.8012820512820513,0.78125,0.7130434782608696,{},{},0.3333128365889124,{},0.3330404217926186,39.0,35.0,31.0,125.0
Random Forest,2,1,gini,100,True,False,500,0.8165680473372781,0.8846153846153846,0.7582417582417582,0.7304347826086957,{},{},0.3333887782967977,{},0.3195266272189349,30.0,44.0,18.0,138.0
Random Forest,3,1,gini,100,True,False,500,0.8048780487804879,0.8461538461538461,0.7674418604651163,0.7217391304347827,{},{},0.3287548716870265,{},0.3240264511388685,34.0,40.0,24.0,132.0
Random Forest,4,1,gini,100,True,False,500,0.8242811501597445,0.8269230769230769,0.821656050955414,0.7608695652173914,{},{},0.4501659379617008,{},0.4501434408415196,46.0,28.0,27.0,129.0
Random Forest,5,1,gini,100,True,False,500,0.782608695652174,0.8129032258064516,0.7544910179640718,0.6956521739130435,{},{},0.2798566700611994,{},0.2777030058322117,34.0,41.0,29.0,126.0
Random Forest,1,1,entropy,100,True,False,500,0.8116883116883117,0.8012820512820513,0.8223684210526315,0.7478260869565218,{},{},0.4306365711060426,{},0.4303040655961735,47.0,27.0,31.0,125.0
Random Forest,2,1,entropy,100,True,False,500,0.8119402985074626,0.8717948717948718,0.7597765363128491,0.7260869565217392,{},{},0.3269129988909086,{},0.3165739081218753,31.0,43.0,20.0,136.0
Random Forest,3,1,entropy,100,True,False,500,0.8,0.8461538461538461,0.7586206896551724,0.7130434782608696,{},{},0.3032279594553762,{},0.297612437534703,32.0,42.0,24.0,132.0
Random Forest,4,1,entropy,100,True,False,500,0.8104575163398693,0.7948717948717948,0.8266666666666667,0.7478260869565218,{},{},0.4350119414859656,{},0.4342663273960984,48.0,26.0,32.0,124.0
Random Forest,5,1,entropy,100,True,False,500,0.7707006369426752,0.7806451612903226,0.7610062893081762,0.6869565217391305,{},{},0.278025877010378,{},0.2778020061055386,37.0,38.0,34.0,121.0
Random Forest,1,1,log_loss,200,True,False,500,0.8090614886731392,0.8012820512820513,0.8169934640522876,0.7434782608695653,{},{},0.4186282556470442,{},0.4184451872803634,46.0,28.0,31.0,125.0
Random Forest,2,1,log_loss,200,True,False,500,0.8165680473372781,0.8846153846153846,0.7582417582417582,0.7304347826086957,{},{},0.3333887782967977,{},0.3195266272189349,30.0,44.0,18.0,138.0
Random Forest,3,1,log_loss,200,True,False,500,0.8012232415902141,0.8397435897435898,0.7660818713450293,0.717391304347826,{},{},0.3200516814414061,{},0.3160398938603714,34.0,40.0,25.0,131.0
Random Forest,4,1,log_loss,200,True,False,500,0.8178913738019169,0.8205128205128205,0.8152866242038217,0.7521739130434782,{},{},0.4301701546995936,{},0.4301486568721203,45.0,29.0,28.0,128.0
Random Forest,5,1,log_loss,200,True,False,500,0.7863777089783281,0.8193548387096774,0.7559523809523809,0.7,{},{},0.2880794610203653,{},0.2854570013507429,34.0,41.0,28.0,127.0
Random Forest,1,1,gini,200,True,False,500,0.7848101265822784,0.7948717948717948,0.775,0.7043478260869566,{},{},0.3130854085109573,{},0.312829525483304,38.0,36.0,32.0,124.0
Random Forest,2,1,gini,200,True,False,500,0.8046647230320699,0.8846153846153846,0.7379679144385026,0.7086956521739131,{},{},0.2665396538019418,{},0.2499756643628929,25.0,49.0,18.0,138.0
Random Forest,3,1,gini,200,True,False,500,0.8217522658610272,0.8717948717948718,0.7771428571428571,0.7434782608695653,{},{},0.3775761414122224,{},0.369716674407803,35.0,39.0,20.0,136.0
Random Forest,4,1,gini,200,True,False,500,0.8391167192429022,0.8525641025641025,0.8260869565217391,0.7782608695652173,{},{},0.4833805267661634,{},0.4827586206896551,46.0,28.0,23.0,133.0
Random Forest,5,1,gini,200,True,False,500,0.78419452887538,0.832258064516129,0.7413793103448276,0.691304347826087,{},{},0.2536872529523384,{},0.2485043718361712,30.0,45.0,26.0,129.0
Random Forest,1,1,entropy,200,True,False,500,0.8090614886731392,0.8012820512820513,0.8169934640522876,0.7434782608695653,{},{},0.4186282556470442,{},0.4184451872803634,46.0,28.0,31.0,125.0
Random Forest,2,1,entropy,200,True,False,500,0.8165680473372781,0.8846153846153846,0.7582417582417582,0.7304347826086957,{},{},0.3333887782967977,{},0.3195266272189349,30.0,44.0,18.0,138.0
Random Forest,3,1,entropy,200,True,False,500,0.8012232415902141,0.8397435897435898,0.7660818713450293,0.717391304347826,{},{},0.3200516814414061,{},0.3160398938603714,34.0,40.0,25.0,131.0
