,model_name,fold,kernel,run,with_title,with_keywords,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP
0,SVM,1,linear,0,True,False,0.8253968253968254,0.7959183673469388,0.8571428571428571,0.7518796992481203,{},0.4021323145994268,{},0.39884947267497595,22.0,13.0,20.0,78.0
0,SVM,2,linear,0,True,False,0.8105263157894737,0.7857142857142857,0.8369565217391305,0.7272727272727273,{},0.32784267326619065,{},0.32576617480136205,19.0,15.0,21.0,77.0
0,SVM,3,linear,0,True,False,0.8469387755102041,0.8556701030927835,0.8383838383838383,0.7727272727272727,{},0.40625932261498404,{},0.40594059405940597,19.0,16.0,14.0,83.0
0,SVM,1,linear,1,True,False,0.835820895522388,0.8571428571428571,0.8155339805825242,0.7518796992481203,{},0.33112537345389864,{},0.3294117647058823,16.0,19.0,14.0,84.0
0,SVM,2,linear,1,True,False,0.7938144329896907,0.7857142857142857,0.8020833333333334,0.696969696969697,{},0.2227831971697517,{},0.22261484098939932,15.0,19.0,21.0,77.0
0,SVM,3,linear,1,True,False,0.8556149732620321,0.8247422680412371,0.8888888888888888,0.7954545454545454,{},0.5108404755341929,{},0.5066445182724253,25.0,10.0,17.0,80.0
0,SVM,1,rbf,0,True,False,0.7428571428571429,0.6632653061224489,0.8441558441558441,0.6616541353383458,{},0.28576646091324004,{},0.2686056458511549,23.0,12.0,33.0,65.0
0,SVM,2,rbf,0,True,False,0.7845303867403315,0.7244897959183674,0.8554216867469879,0.7045454545454546,{},0.3363032482982003,{},0.3247639034627491,22.0,12.0,27.0,71.0
0,SVM,3,rbf,0,True,False,0.770949720670391,0.711340206185567,0.8414634146341463,0.6893939393939394,{},0.3093100214874694,{},0.2989637305699482,22.0,13.0,28.0,69.0
0,SVM,1,rbf,1,True,False,0.7916666666666666,0.7755102040816326,0.8085106382978723,0.6992481203007519,{},0.2526764224926266,{},0.25196850393700787,17.0,18.0,22.0,76.0
0,SVM,2,rbf,1,True,False,0.7374301675977654,0.673469387755102,0.8148148148148148,0.6439393939393939,{},0.20862236617776395,{},0.19969040247678027,19.0,15.0,32.0,66.0
0,SVM,3,rbf,1,True,False,0.8023255813953488,0.711340206185567,0.92,0.7424242424242424,{},0.481143381508559,{},0.44959529065489323,29.0,6.0,28.0,69.0
0,SVM,1,poly,0,True,False,0.0,0.0,0.0,0.2631578947368421,{},0.0,{},0.0,35.0,0.0,98.0,0.0
0,SVM,2,poly,0,True,False,0.0,0.0,0.0,0.25757575757575757,{},0.0,{},0.0,34.0,0.0,98.0,0.0
0,SVM,3,poly,0,True,False,0.04040404040404041,0.020618556701030927,1.0,0.2803030303030303,{},0.07450603922533253,{},0.01104100946372244,35.0,0.0,95.0,2.0
0,SVM,1,poly,1,True,False,0.020202020202020204,0.01020408163265306,1.0,0.2706766917293233,{},0.052015648661029944,{},0.00539665407447365,35.0,0.0,97.0,1.0
0,SVM,2,poly,1,True,False,0.0,0.0,0.0,0.25757575757575757,{},0.0,{},0.0,34.0,0.0,98.0,0.0
0,SVM,3,poly,1,True,False,0.0,0.0,0.0,0.26515151515151514,{},0.0,{},0.0,35.0,0.0,97.0,0.0
0,SVM,1,sigmoid,0,True,False,0.8191489361702128,0.7857142857142857,0.8555555555555555,0.7443609022556391,{},0.3900241826465323,{},0.38593155893536124,22.0,13.0,21.0,77.0
0,SVM,2,sigmoid,0,True,False,0.8105263157894737,0.7857142857142857,0.8369565217391305,0.7272727272727273,{},0.32784267326619065,{},0.32576617480136205,19.0,15.0,21.0,77.0
0,SVM,3,sigmoid,0,True,False,0.8426395939086294,0.8556701030927835,0.83,0.7651515151515151,{},0.38106122647293883,{},0.3803755299818292,18.0,17.0,14.0,83.0
0,SVM,1,sigmoid,1,True,False,0.835820895522388,0.8571428571428571,0.8155339805825242,0.7518796992481203,{},0.33112537345389864,{},0.3294117647058823,16.0,19.0,14.0,84.0
0,SVM,2,sigmoid,1,True,False,0.8041237113402062,0.7959183673469388,0.8125,0.7121212121212122,{},0.2616818506438353,{},0.2614840989399293,16.0,18.0,20.0,78.0
0,SVM,3,sigmoid,1,True,False,0.8556149732620321,0.8247422680412371,0.8888888888888888,0.7954545454545454,{},0.5108404755341929,{},0.5066445182724253,25.0,10.0,17.0,80.0
