,model_name,fold,criterion,num_trees,run,with_title,with_keywords,nb_added_negs,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP
0,Random Forest,3,gini,300,1,True,False,0.0,0.8613138686131386,1.0,0.7564102564102564,0.759493670886076,{},0.1944749670793463,{},0.07288449660284113,1.0,19.0,0.0,59.0
0,Random Forest,4,gini,300,1,True,False,0.0,0.8529411764705882,1.0,0.7435897435897436,0.7468354430379747,{},0.18817288701892046,{},0.06839622641509435,1.0,20.0,0.0,58.0
0,Random Forest,5,gini,300,1,True,False,0.0,0.8467153284671532,1.0,0.7341772151898734,0.7341772151898734,{},0.0,{},0.0,0.0,21.0,0.0,58.0
0,Random Forest,1,entropy,300,0,True,False,0.0,0.8489208633093526,1.0,0.7375,0.7375,{},0.0,{},0.0,0.0,21.0,0.0,59.0
0,Random Forest,2,entropy,300,0,True,False,0.0,0.855072463768116,1.0,0.7468354430379747,0.75,{},0.18858311834736916,{},0.06868451688009314,1.0,20.0,0.0,59.0
0,Random Forest,3,entropy,300,0,True,False,0.0,0.855072463768116,1.0,0.7468354430379747,0.7468354430379747,{},0.0,{},0.0,0.0,20.0,0.0,59.0
0,Random Forest,4,entropy,300,0,True,False,0.0,0.8529411764705882,1.0,0.7435897435897436,0.7468354430379747,{},0.18817288701892046,{},0.06839622641509435,1.0,20.0,0.0,58.0
0,Random Forest,5,entropy,300,0,True,False,0.0,0.8529411764705882,1.0,0.7435897435897436,0.7468354430379747,{},0.18817288701892046,{},0.06839622641509435,1.0,20.0,0.0,58.0
0,Random Forest,1,entropy,300,1,True,False,0.0,0.8489208633093526,1.0,0.7375,0.7375,{},0.0,{},0.0,0.0,21.0,0.0,59.0
0,Random Forest,2,entropy,300,1,True,False,0.0,0.8489208633093526,1.0,0.7375,0.7375,{},0.0,{},0.0,0.0,21.0,0.0,59.0
0,Random Forest,3,entropy,300,1,True,False,0.0,0.8613138686131386,1.0,0.7564102564102564,0.759493670886076,{},0.1944749670793463,{},0.07288449660284113,1.0,19.0,0.0,59.0
0,Random Forest,4,entropy,300,1,True,False,0.0,0.8529411764705882,1.0,0.7435897435897436,0.7468354430379747,{},0.18817288701892046,{},0.06839622641509435,1.0,20.0,0.0,58.0
0,Random Forest,5,entropy,300,1,True,False,0.0,0.8467153284671532,1.0,0.7341772151898734,0.7341772151898734,{},0.0,{},0.0,0.0,21.0,0.0,58.0
0,Random Forest,1,log_loss,400,0,True,False,0.0,0.8489208633093526,1.0,0.7375,0.7375,{},0.0,{},0.0,0.0,21.0,0.0,59.0
0,Random Forest,2,log_loss,400,0,True,False,0.0,0.855072463768116,1.0,0.7468354430379747,0.75,{},0.18858311834736916,{},0.06868451688009314,1.0,20.0,0.0,59.0
