,model_name,fold,loss_type,run,with_title,with_keywords,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP
0,dmis-lab/biobert-v1.1,1,BCE,1,True,True,0.9905362776025236,0.9874213836477987,0.9936708860759493,0.9864253393665159,0.9984897766819663,0.966597255128698,0.9997712841060437,0.9665371220915561,61.0,1.0,2.0,157.0
0,dmis-lab/biobert-v1.1,2,BCE,1,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0,61.0,0.0,0.0,159.0
